Fecha,Sucursal,Producto,Monto_Venta,ID_Asesor
2025-11-27,Barranquilla,Libranza,2564101,196
2025-11-27,Barranquilla,Microcredito,1949293,100
2025-11-27,Barranquilla,Tarjeta Visa,200502,194
2025-11-27,Barranquilla,Libranza,3592017,183
2025-11-27,Barranquilla,Libranza,4184813,133
2025-11-27,Barranquilla,Tarjeta Visa,704777,123
2025-11-27,Barranquilla,Tarjeta Visa,2578780,115
2025-11-27,Barranquilla,Microcredito,4545905,159
2025-11-27,Barranquilla,Tarjeta Visa,4621666,129
2025-11-27,Barranquilla,Microcredito,3155589,172
2025-11-27,Barranquilla,Credito Consumo,664911,130
2025-11-27,Barranquilla,Tarjeta Visa,3104219,104
2025-11-27,Barranquilla,Credito Consumo,3234375,161
2025-11-27,Barranquilla,Tarjeta Visa,2871020,129
2025-11-27,Barranquilla,Tarjeta Visa,1171678,173
2025-11-27,Barranquilla,Tarjeta Visa,1596938,188
2025-11-27,Barranquilla,Credito Consumo,2980166,141
2025-11-27,Barranquilla,Tarjeta Visa,295496,129
2025-11-27,Barranquilla,Libranza,1959828,134
2025-11-27,Barranquilla,Tarjeta Visa,790283,166
2025-11-27,Barranquilla,Credito Consumo,4128346,134
2025-11-27,Barranquilla,Tarjeta Visa,3434584,152
2025-11-27,Barranquilla,Tarjeta Visa,4345863,145
2025-11-27,Barranquilla,Tarjeta Visa,787870,183
2025-11-27,Barranquilla,Tarjeta Visa,2370622,145
2025-11-27,Barranquilla,Libranza,3050622,145
2025-11-27,Barranquilla,Libranza,4983208,190
2025-11-27,Barranquilla,Microcredito,1325898,129
2025-11-27,Barranquilla,Libranza,1454395,118
2025-11-27,Barranquilla,Credito Consumo,1435863,146
2025-11-27,Barranquilla,Credito Consumo,2169617,170
2025-11-27,Barranquilla,Tarjeta Visa,396974,166
2025-11-27,Barranquilla,Libranza,1987018,123
2025-11-27,Barranquilla,Microcredito,2486952,114
2025-11-27,Barranquilla,Credito Consumo,1428149,120
2025-11-27,Barranquilla,Credito Consumo,1908383,139
2025-11-27,Barranquilla,Credito Consumo,445909,119
2025-11-27,Barranquilla,Libranza,4553683,122
2025-11-27,Barranquilla,Tarjeta Visa,1146967,155
2025-11-27,Barranquilla,Libranza,2725294,111
