Fecha,Sucursal,Producto,Monto_Venta,ID_Asesor
2025-11-27,Bogota,Credito Consumo,3160890,183
2025-11-27,Bogota,Tarjeta Visa,4791753,107
2025-11-27,Bogota,Tarjeta Visa,3764133,174
2025-11-27,Bogota,Libranza,1309285,161
2025-11-27,Bogota,Microcredito,4030155,100
2025-11-27,Bogota,Microcredito,4126580,168
2025-11-27,Bogota,Microcredito,101071,171
2025-11-27,Bogota,Microcredito,4015728,122
2025-11-27,Bogota,Credito Consumo,705807,193
2025-11-27,Bogota,Microcredito,1607155,111
2025-11-27,Bogota,Microcredito,3315760,117
2025-11-27,Bogota,Libranza,366461,187
2025-11-27,Bogota,Credito Consumo,1601626,135
2025-11-27,Bogota,Tarjeta Visa,2574649,182
2025-11-27,Bogota,Microcredito,4401143,193
2025-11-27,Bogota,Microcredito,4471650,155
2025-11-27,Bogota,Credito Consumo,3707325,119
2025-11-27,Bogota,Microcredito,2006559,161
2025-11-27,Bogota,Libranza,4016085,121
2025-11-27,Bogota,Microcredito,277185,129
2025-11-27,Bogota,Microcredito,2404517,142
2025-11-27,Bogota,Microcredito,626994,115
2025-11-27,Bogota,Libranza,302359,188
2025-11-27,Bogota,Microcredito,1896351,111
2025-11-27,Bogota,Tarjeta Visa,1228370,136
2025-11-27,Bogota,Tarjeta Visa,4789048,115
2025-11-27,Bogota,Credito Consumo,2409306,185
2025-11-27,Bogota,Tarjeta Visa,3858283,114
2025-11-27,Bogota,Libranza,3676142,124
2025-11-27,Bogota,Tarjeta Visa,2549164,146
2025-11-27,Bogota,Microcredito,2742191,113
2025-11-27,Bogota,Microcredito,4575389,190
2025-11-27,Bogota,Microcredito,2393764,143
2025-11-27,Bogota,Credito Consumo,1021227,167
2025-11-27,Bogota,Microcredito,485729,173
2025-11-27,Bogota,Microcredito,4266852,141
2025-11-27,Bogota,Microcredito,1581500,171
2025-11-27,Bogota,Libranza,1521589,155
2025-11-27,Bogota,Credito Consumo,3255602,140
2025-11-27,Bogota,Libranza,3413353,131
2025-11-27,Bogota,Libranza,4108107,119
2025-11-27,Bogota,Microcredito,3329719,136
2025-11-27,Bogota,Microcredito,2490739,178
2025-11-27,Bogota,Microcredito,1064723,134
2025-11-27,Bogota,Credito Consumo,3728772,105
2025-11-27,Bogota,Tarjeta Visa,4249942,176
2025-11-27,Bogota,Tarjeta Visa,1620758,156
2025-11-27,Bogota,Tarjeta Visa,3294182,161
2025-11-27,Bogota,Libranza,3808632,185
2025-11-27,Bogota,Microcredito,239249,115
2025-11-27,Bogota,Libranza,2185835,125
2025-11-27,Bogota,Libranza,4046045,115
2025-11-27,Bogota,Libranza,1036265,101
2025-11-27,Bogota,Credito Consumo,1573393,170
2025-11-27,Bogota,Libranza,3965776,116
2025-11-27,Bogota,Credito Consumo,3844633,134
2025-11-27,Bogota,Tarjeta Visa,3417674,172
2025-11-27,Bogota,Libranza,691786,164
2025-11-27,Bogota,Tarjeta Visa,2580774,125
2025-11-27,Bogota,Microcredito,2415986,164
2025-11-27,Bogota,Microcredito,403525,128
2025-11-27,Bogota,Tarjeta Visa,4489449,146
2025-11-27,Bogota,Tarjeta Visa,970736,167
2025-11-27,Bogota,Microcredito,825203,151
2025-11-27,Bogota,Microcredito,198069,143
2025-11-27,Bogota,Credito Consumo,4600055,110
2025-11-27,Bogota,Credito Consumo,2990938,138
2025-11-27,Bogota,Tarjeta Visa,2072191,100
2025-11-27,Bogota,Microcredito,3337686,194
2025-11-27,Bogota,Tarjeta Visa,774987,101
2025-11-27,Bogota,Credito Consumo,4844633,106
2025-11-27,Bogota,Libranza,3657080,132
2025-11-27,Bogota,Tarjeta Visa,4188815,134
2025-11-27,Bogota,Microcredito,372546,191
2025-11-27,Bogota,Libranza,3687144,141
2025-11-27,Bogota,Microcredito,2090373,110
2025-11-27,Bogota,Tarjeta Visa,4692861,180
2025-11-27,Bogota,Credito Consumo,3097074,185
2025-11-27,Bogota,Credito Consumo,1581777,137
2025-11-27,Bogota,Credito Consumo,4422889,128
2025-11-27,Bogota,Libranza,3775121,147
2025-11-27,Bogota,Libranza,938249,176
2025-11-27,Bogota,Tarjeta Visa,3007599,188
2025-11-27,Bogota,Microcredito,3581941,121
2025-11-27,Bogota,Credito Consumo,3384068,193
2025-11-27,Bogota,Credito Consumo,2386818,114
2025-11-27,Bogota,Libranza,606032,178
2025-11-27,Bogota,Credito Consumo,1299734,109
2025-11-27,Bogota,Microcredito,4968785,143
2025-11-27,Bogota,Microcredito,3655622,182
2025-11-27,Bogota,Credito Consumo,2646591,151
2025-11-27,Bogota,Tarjeta Visa,340421,132
2025-11-27,Bogota,Microcredito,1523857,167
2025-11-27,Bogota,Tarjeta Visa,3921545,110
2025-11-27,Bogota,Microcredito,2939837,170
2025-11-27,Bogota,Microcredito,624109,102
2025-11-27,Bogota,Microcredito,558308,189
2025-11-27,Bogota,Tarjeta Visa,3916271,177
2025-11-27,Bogota,Microcredito,2245645,104
2025-11-27,Bogota,Credito Consumo,2209531,129
2025-11-27,Bogota,Microcredito,159319,156
2025-11-27,Bogota,Libranza,1439446,109
2025-11-27,Bogota,Tarjeta Visa,3696882,192
2025-11-27,Bogota,Libranza,4571682,128
2025-11-27,Bogota,Libranza,1705511,145
2025-11-27,Bogota,Libranza,2792117,167
2025-11-27,Bogota,Libranza,4818174,134
2025-11-27,Bogota,Credito Consumo,3374962,176
2025-11-27,Bogota,Libranza,2747191,189
2025-11-27,Bogota,Libranza,4020841,143
2025-11-27,Bogota,Tarjeta Visa,4539682,112
2025-11-27,Bogota,Tarjeta Visa,1033505,182
2025-11-27,Bogota,Tarjeta Visa,3248815,186
2025-11-27,Bogota,Libranza,136016,149
2025-11-27,Bogota,Libranza,3902134,169
2025-11-27,Bogota,Tarjeta Visa,887049,190
2025-11-27,Bogota,Microcredito,2354169,167
2025-11-27,Bogota,Credito Consumo,2279888,113
2025-11-27,Bogota,Libranza,1129439,187
2025-11-27,Bogota,Microcredito,3841574,150
2025-11-27,Bogota,Tarjeta Visa,2949848,190
2025-11-27,Bogota,Microcredito,1870104,132
2025-11-27,Bogota,Libranza,2127211,175
2025-11-27,Bogota,Credito Consumo,4848837,198
2025-11-27,Bogota,Credito Consumo,4271769,148
2025-11-27,Bogota,Libranza,4295729,135
2025-11-27,Bogota,Credito Consumo,2660737,170
2025-11-27,Bogota,Credito Consumo,4085480,159
2025-11-27,Bogota,Credito Consumo,1002526,113
2025-11-27,Bogota,Tarjeta Visa,521055,102
2025-11-27,Bogota,Microcredito,2152447,134
2025-11-27,Bogota,Libranza,2623350,137
2025-11-27,Bogota,Microcredito,3595065,138
2025-11-27,Bogota,Libranza,3779091,121
2025-11-27,Bogota,Microcredito,4158204,141
